source_file_row_position_zero_based,class_local_row_id,global_learned_input_group_hash_u64,reference_input_hash_u64,compact_input_hash_u64,full_feature_hash_u64,Attack_type,true_label,split
60,60,16028641565770949272,213653118474064685,16028641565770949272,10032223274708013941,MQTT_Publish,0,calibration
61,61,3459191251769826028,8010452058730689515,3459191251769826028,4927628946077475548,MQTT_Publish,0,train
62,62,13483487524625799595,7536289471649470834,13483487524625799595,13420301048656555992,MQTT_Publish,0,test
63,63,2052370732972501536,6672602636778019864,2052370732972501536,17002738067665232257,MQTT_Publish,0,train
64,64,13114352977446374583,7872961976489325578,13114352977446374583,4667238258226293763,MQTT_Publish,0,test
65,65,4745269785477859064,13646551726128056230,4745269785477859064,12775112551911373788,MQTT_Publish,0,calibration
66,66,11967600726389204223,10011275641641964039,11967600726389204223,10076591466379103950,MQTT_Publish,0,train
67,67,9262848710296599466,17182534877712229490,9262848710296599466,6393390501557503227,MQTT_Publish,0,calibration
68,68,10125980811646291664,4302917316590416859,10125980811646291664,7774148058219290315,MQTT_Publish,0,calibration
69,69,17874788456470940816,8353978730738063120,17874788456470940816,7177293368322926405,MQTT_Publish,0,train
70,70,1967009103597414447,1422515122053718608,1967009103597414447,15400026866738244590,MQTT_Publish,0,train
71,71,1016764116728991885,12207404495112307590,1016764116728991885,5196554112077626720,MQTT_Publish,0,test
72,72,3468657933175841892,13261253481201450174,3468657933175841892,11668476541768271117,MQTT_Publish,0,test
73,73,17623771873307135415,6545901060944749906,17623771873307135415,4329875825083959000,MQTT_Publish,0,train
74,74,10123262012012239005,3512007984807405864,10123262012012239005,8318522185574485208,MQTT_Publish,0,train
75,75,13546325553713311990,7625202613701030958,13546325553713311990,13603981461480485727,MQTT_Publish,0,test
76,76,9943690167802309656,1890511749750722635,9943690167802309656,16949623963347513715,MQTT_Publish,0,train
77,77,11013033825956070759,10077605775569856329,11013033825956070759,7388010703875405853,MQTT_Publish,0,train
78,78,4125145213599325379,321820767268995698,4125145213599325379,13843972367554064130,MQTT_Publish,0,calibration
79,79,14791284956137606398,3878532672454637108,14791284956137606398,6852845004342385992,MQTT_Publish,0,test
80,80,11289631236606030293,1396945243032352374,11289631236606030293,18313025750296772513,MQTT_Publish,0,test
81,81,10049804588504461435,4500249278618731747,10049804588504461435,15003888710265736248,MQTT_Publish,0,train
82,82,7949769927397357229,12139283356865724427,7949769927397357229,6912071307110187602,MQTT_Publish,0,train
83,83,16536083643980219190,10055403227556585063,16536083643980219190,10154546861240401926,MQTT_Publish,0,test
84,84,9893256738711103317,9626272117597318179,9893256738711103317,8369473449628720856,MQTT_Publish,0,train
85,85,14484947618952356696,5344138982774889593,14484947618952356696,11612376952921768245,MQTT_Publish,0,test
86,86,13388665615482122420,12275126080438878169,13388665615482122420,167965833586695968,MQTT_Publish,0,train
87,87,15871428899288959337,14452374060239500439,15871428899288959337,6464680855153839944,MQTT_Publish,0,train
88,88,6239771760183049430,3091427038360799614,6239771760183049430,6078544194142708124,MQTT_Publish,0,train
89,89,6574241464882780053,35984880286889295,6574241464882780053,3690888286878731144,MQTT_Publish,0,train
90,90,14385240236582526927,15325060993398687262,14385240236582526927,17405395222694524260,MQTT_Publish,0,train
91,91,3061055842509432184,8661774508602221385,3061055842509432184,4788537772023503704,MQTT_Publish,0,test
92,92,11884164329086356746,9433268298051363704,11884164329086356746,3526027389944455151,MQTT_Publish,0,train
93,93,10878441376277737944,1684026264107173076,10878441376277737944,7006501786087863058,MQTT_Publish,0,train
94,94,6858009926852639586,14708476774181414125,6858009926852639586,13894906176862961484,MQTT_Publish,0,test
95,95,15275714227534597788,7515313344838064802,15275714227534597788,12018333777969278696,MQTT_Publish,0,test
96,96,14075880280103955944,11579659706879159269,14075880280103955944,17213253590150301115,MQTT_Publish,0,train
97,97,11975717524109776431,661713161464867250,11975717524109776431,9203001136439148146,MQTT_Publish,0,train
98,98,3275275088993551100,17517613351562779921,3275275088993551100,15190428547322057561,MQTT_Publish,0,train
99,99,4804428183730164612,8192548472542577309,4804428183730164612,15567103029732644028,MQTT_Publish,0,train
100,100,11747086124634023732,13283984205683632390,11747086124634023732,6094508653367089744,MQTT_Publish,0,train
101,101,15753400763843910188,7148094590116298148,15753400763843910188,13764745425059460151,MQTT_Publish,0,test
102,102,10573354306849546222,16226418335482404678,10573354306849546222,3595954636234007701,MQTT_Publish,0,train
103,103,5643999958980391382,12400210702425092504,5643999958980391382,8291756678398197380,MQTT_Publish,0,test
104,104,4695849405004343659,521835521608453716,4695849405004343659,15990491598323375408,MQTT_Publish,0,train
105,105,10983303627186174232,8806949714479537298,10983303627186174232,11768829351935295075,MQTT_Publish,0,train
106,106,5222784714530765606,260976536032720252,5222784714530765606,11279014113054261481,MQTT_Publish,0,train
107,107,18164886389652622197,423288785625363227,18164886389652622197,6623092160152721278,MQTT_Publish,0,test
108,108,1309217313729911392,12241718744412741404,1309217313729911392,14909780410710157789,MQTT_Publish,0,test
109,109,13068594963652003163,2414346820947897238,13068594963652003163,1528514853449716513,MQTT_Publish,0,calibration
110,110,6245362687506701832,12932917580636902575,6245362687506701832,3189700106067944180,MQTT_Publish,0,train
111,111,15947307163222280593,4730920321361335119,15947307163222280593,6394412201581857927,MQTT_Publish,0,test
112,112,6688278152927982364,6446795796324483935,6688278152927982364,13973911081833537701,MQTT_Publish,0,calibration
113,113,14405998389946391725,3101176256733536408,14405998389946391725,18235915795321836929,MQTT_Publish,0,train
114,114,3355594986902741157,9042005835922516845,3355594986902741157,10648826180986692942,MQTT_Publish,0,train
115,115,468276842148297027,6584188310908061632,468276842148297027,9561328218877068077,MQTT_Publish,0,train
116,116,2390734939955020551,17989612102132853965,2390734939955020551,11000040702555971133,MQTT_Publish,0,train
117,117,17338844972326148551,16892929842117561751,17338844972326148551,4976247162142551727,MQTT_Publish,0,train
118,118,12229737857031063771,5602331881284697479,12229737857031063771,5811495137120177418,MQTT_Publish,0,calibration
119,119,802090513977963193,8212374510010317348,802090513977963193,1328803140715337408,MQTT_Publish,0,test
120,120,6263310906860277506,1771817861833710564,6263310906860277506,9487554243080255974,MQTT_Publish,0,train
121,121,9793424458557150958,58338169587138573,9793424458557150958,16691382896117440132,MQTT_Publish,0,train
122,122,7320422425691854004,10142785942804440521,7320422425691854004,8594175465697904331,MQTT_Publish,0,train
123,123,13418563052363589970,10988994418803417355,13418563052363589970,7330888594891391513,MQTT_Publish,0,calibration
124,124,15880042968879947110,6597456813968102619,15880042968879947110,8129182706606140769,MQTT_Publish,0,train
125,125,6578875689107689450,13027267035160864574,6578875689107689450,18294256970620404133,MQTT_Publish,0,train
126,126,578789027805027809,3516977096611689710,578789027805027809,9380379870854397174,MQTT_Publish,0,train
127,127,3818926711641776036,10687444050908586181,3818926711641776036,15446438135069882976,MQTT_Publish,0,train
128,128,12480227145259163206,1229539259077893753,12480227145259163206,3629502134029669230,MQTT_Publish,0,train
129,129,10458144481861263379,14085604091638381656,10458144481861263379,1327591399829743302,MQTT_Publish,0,calibration
130,130,1018533363188932871,6033247951145229296,1018533363188932871,11734926977439986560,MQTT_Publish,0,calibration
131,131,13083941873627129758,1858930863982556122,13083941873627129758,12508980474165881009,MQTT_Publish,0,train
132,132,1154973594262494821,12979854288641591547,1154973594262494821,10348069256246413927,MQTT_Publish,0,train
133,133,10886222732595924515,16654206262911545644,10886222732595924515,133343018339700685,MQTT_Publish,0,train
134,134,14316495569682168491,18300433157913968327,14316495569682168491,8550856241397679123,MQTT_Publish,0,test
135,135,2758286614153874933,12693280736014098150,2758286614153874933,7102262831175145312,MQTT_Publish,0,train
136,136,6903741717070784905,12771552980383195426,6903741717070784905,6123444491345893467,MQTT_Publish,0,train
137,137,3343941363734345955,10826700753173763991,3343941363734345955,5698931379855707920,MQTT_Publish,0,train
138,138,10752448927761406644,5841913990449339830,10752448927761406644,14638551571997906218,MQTT_Publish,0,train
139,139,15832736434952094824,16537295329499649622,15832736434952094824,16668609937663971201,MQTT_Publish,0,train
140,140,7416122031434833094,3147407693984368676,7416122031434833094,13447216058738807833,MQTT_Publish,0,test
141,141,7319504174306858163,2544265150324524869,7319504174306858163,13608862945238658434,MQTT_Publish,0,calibration
142,142,12064544704970434296,8842186927126592886,12064544704970434296,5137921614716202318,MQTT_Publish,0,test
143,143,8941147026419398382,9724102954334282909,8941147026419398382,8852692214803627693,MQTT_Publish,0,test
144,144,8096762206219762470,12681447520101128727,8096762206219762470,7092824633991565720,MQTT_Publish,0,calibration
145,145,3907617317047492243,17519038965663377236,3907617317047492243,2033979578914530144,MQTT_Publish,0,train
146,146,11811586040401256746,12719135034327605085,11811586040401256746,12819005078371136073,MQTT_Publish,0,train
147,147,17772194732887701740,7676586934562650487,17772194732887701740,5448728835894063736,MQTT_Publish,0,train
148,148,12125438117824124737,1499956150194138667,12125438117824124737,14630026009848494606,MQTT_Publish,0,train
149,149,18170697046455772365,17303503230097706878,18170697046455772365,5369297928062082072,MQTT_Publish,0,calibration
150,150,1833167658597670182,14902903745250526693,1833167658597670182,10594240220324273071,MQTT_Publish,0,test
151,151,16610714971561743873,14631934527168875168,16610714971561743873,15368363960786201489,MQTT_Publish,0,calibration
152,152,17400571285253791525,11305636436269607237,17400571285253791525,11178537066515797811,MQTT_Publish,0,train
153,153,10046637273257879445,13211318673860273085,10046637273257879445,2889926375736944157,MQTT_Publish,0,train
154,154,919278193209506055,8960416050344945755,919278193209506055,12994784061043662236,MQTT_Publish,0,train
155,155,6284391022559214874,5875237918539897014,6284391022559214874,13753100298928502099,MQTT_Publish,0,calibration
156,156,14888305742823368262,15023235716548789061,14888305742823368262,12282069842400556819,MQTT_Publish,0,calibration
157,157,17316462192198984325,7999617297011654145,17316462192198984325,16964608986023722179,MQTT_Publish,0,train
158,158,13185753444639241940,15345648234330294656,13185753444639241940,13498878783052736973,MQTT_Publish,0,train
159,159,14188265622808161159,128512098462422629,14188265622808161159,249903468142115179,MQTT_Publish,0,train
160,160,4585416330555082550,10771952489939591936,4585416330555082550,13890581067869325733,MQTT_Publish,0,train
161,161,17463991471780741684,9669721379210884877,17463991471780741684,15386365630587253433,MQTT_Publish,0,test
162,162,16768678206254775089,75313012879722434,16768678206254775089,13618520893043985646,MQTT_Publish,0,test
163,163,5446046551926871785,16311300056050135173,5446046551926871785,17869802855719264594,MQTT_Publish,0,test
164,164,12454768274424009772,17668562046697085352,12454768274424009772,6060713593151215046,MQTT_Publish,0,calibration
165,165,11538668555876406833,11367157617910373219,11538668555876406833,12091607412410666627,MQTT_Publish,0,train
166,166,12850429132126805113,15700006987138287572,12850429132126805113,16367654845505090841,MQTT_Publish,0,train
167,167,8379938133809953778,1583001968938189424,8379938133809953778,416456700513656302,MQTT_Publish,0,calibration
168,168,613316756433994577,17442045863723766076,613316756433994577,8123734185621431290,MQTT_Publish,0,calibration
169,169,10408984042195822730,5609606322040376973,10408984042195822730,6559908361877533950,MQTT_Publish,0,train
170,170,1017771906331986464,6227633051604886991,1017771906331986464,12138376886625420299,MQTT_Publish,0,calibration
171,171,1855884650868221043,7559804450813175506,1855884650868221043,6873239993972913050,MQTT_Publish,0,train
172,172,4682773350970294210,13268240956619011206,4682773350970294210,8032312848740755431,MQTT_Publish,0,train
173,173,11628523202700232353,14670916225574480404,11628523202700232353,4974710688122094506,MQTT_Publish,0,train
174,174,6200919353893967118,16338006248815718436,6200919353893967118,5082656607428822405,MQTT_Publish,0,train
175,175,15959458483137852555,4595344122917930622,15959458483137852555,13933097397548392016,MQTT_Publish,0,train
176,176,13578275445804292836,2011782166226918494,13578275445804292836,1385047118101592562,MQTT_Publish,0,train
177,177,5411475506267008281,5626934519982568849,5411475506267008281,3436156773996104935,MQTT_Publish,0,test
178,178,14285748972962253133,11743246801408407442,14285748972962253133,16700902541759796085,MQTT_Publish,0,train
179,179,14525535688497126634,18079037201487815653,14525535688497126634,3424329168219571329,MQTT_Publish,0,train
180,180,7528261403826406130,5638466872380031060,7528261403826406130,6574613857523124062,MQTT_Publish,0,train
181,181,4603544370627981109,15333872244549392457,4603544370627981109,9751595672691124391,MQTT_Publish,0,train
182,182,6698721924907030259,17543957999804076227,6698721924907030259,17883723255105629662,MQTT_Publish,0,train
183,183,17111835225550770730,4565436453165379133,17111835225550770730,18037578888699806577,MQTT_Publish,0,train
184,184,6970731230953033606,7722042019191722211,6970731230953033606,17211535362453901510,MQTT_Publish,0,train
185,185,6897675238808838305,2615646184096188875,6897675238808838305,17483505697255615015,MQTT_Publish,0,train
186,186,5402323186525494953,14332317755146794715,5402323186525494953,11518286551206798084,MQTT_Publish,0,train
187,187,13276529050936497140,2694376555860043872,13276529050936497140,58418193605722503,MQTT_Publish,0,train
188,188,6104461809719588719,14282327094626077391,6104461809719588719,6470745639921946950,MQTT_Publish,0,train
189,189,5867231834338259594,10127686030363745841,5867231834338259594,14033437769094915986,MQTT_Publish,0,test
190,190,3599373017383114105,13911832900443099793,3599373017383114105,18082634013652597794,MQTT_Publish,0,train
191,191,18365731531169960837,17400786639374582168,18365731531169960837,9369077667369328979,MQTT_Publish,0,train
192,192,4787444162448468083,9015503882057289712,4787444162448468083,3287403285296785680,MQTT_Publish,0,test
193,193,6741174800229265220,16812248051776356716,6741174800229265220,14577474868339250602,MQTT_Publish,0,train
194,194,17972675937290884460,15425513351344668895,17972675937290884460,15016640294322575129,MQTT_Publish,0,calibration
195,195,13834362280470386865,5191287346798684139,13834362280470386865,1286984432608539112,MQTT_Publish,0,calibration
196,196,2917095844728186740,5910539168478977963,2917095844728186740,11300750591618650750,MQTT_Publish,0,train
197,197,16492215364537851373,640080033425950152,16492215364537851373,1821963674109513736,MQTT_Publish,0,calibration
198,198,17553885612439105476,17377832528403798312,17553885612439105476,12326047719072866925,MQTT_Publish,0,calibration
199,199,489772683440527639,15898814732955750661,489772683440527639,3458522123951786749,MQTT_Publish,0,train
200,200,8136069212268515259,9125691789988835805,8136069212268515259,792807629237953307,MQTT_Publish,0,train
201,201,16254058679763001965,11318117115401240343,16254058679763001965,4121191652881064024,MQTT_Publish,0,calibration
202,202,1077849805619350466,13829394410927704069,1077849805619350466,18128042910027077140,MQTT_Publish,0,calibration
203,203,7995379399678946333,11802702050774492716,7995379399678946333,8017260485199689220,MQTT_Publish,0,train
204,204,11175044998793957607,7359585588202667707,11175044998793957607,7491157769693793742,MQTT_Publish,0,train
205,205,1721103367606095486,7808251846815166888,1721103367606095486,3674889398115495773,MQTT_Publish,0,test
206,206,2764552082023609631,4941894183422759990,2764552082023609631,4479707204364160564,MQTT_Publish,0,train
207,207,14755575540783969187,8561110402775951077,14755575540783969187,13036274608178427755,MQTT_Publish,0,test
208,208,5118549513437888546,15825803533476620774,5118549513437888546,17689448904160470315,MQTT_Publish,0,train
209,209,15310478479052413114,9767195669428634480,15310478479052413114,12807096898993909775,MQTT_Publish,0,train
210,210,767314975205624395,14756319997198594526,767314975205624395,32194408063960353,MQTT_Publish,0,test
211,211,9326215852369124190,12996298272218572472,9326215852369124190,8201304021389106031,MQTT_Publish,0,test
212,212,4587004448903542116,173471620111146279,4587004448903542116,17647574585168522856,MQTT_Publish,0,train
213,213,15800151054226472551,11479713284238292973,15800151054226472551,4693787244615104431,MQTT_Publish,0,train
214,214,7338960085965981693,15204782070252485126,7338960085965981693,5739660472470504367,MQTT_Publish,0,test
215,215,6804837947001268324,14351428848965000164,6804837947001268324,7035908191292325091,MQTT_Publish,0,train
216,216,11098937240033073622,3257545987265765373,11098937240033073622,189701974158685315,MQTT_Publish,0,train
217,217,3416649555788491992,13755792444349285065,3416649555788491992,6316219140984124516,MQTT_Publish,0,test
218,218,14279979686945010207,3206259986505091954,14279979686945010207,4252061782379119732,MQTT_Publish,0,train
219,219,2952509732161710147,9816866311679769769,2952509732161710147,7375061232066627944,MQTT_Publish,0,train
220,220,5375576347116864863,17539671542841728750,5375576347116864863,818392900010685312,MQTT_Publish,0,calibration
221,221,17267013213021602593,15975039753029858018,17267013213021602593,5432169384525306921,MQTT_Publish,0,test
222,222,4933272593031498579,7092950993749839318,4933272593031498579,11880436520007019400,MQTT_Publish,0,calibration
223,223,16800480005128372380,2562171168206022999,16800480005128372380,6333791893090471172,MQTT_Publish,0,test
224,224,1031997549859128264,13708005560345014578,1031997549859128264,13028086176429183190,MQTT_Publish,0,calibration
225,225,15758838248138628230,16082682233764659771,15758838248138628230,5118520866973796748,MQTT_Publish,0,train
226,226,10233100736880616223,16993246470250322484,10233100736880616223,385065365258329026,MQTT_Publish,0,train
227,227,1360630968202531349,14830949697554362199,1360630968202531349,7054915335197879115,MQTT_Publish,0,train
228,228,9774635064267077415,8441230963314499228,9774635064267077415,1256738292996374812,MQTT_Publish,0,train
229,229,4986625108755854004,12488883962106922712,4986625108755854004,1879109342033843762,MQTT_Publish,0,train
230,230,4272329912861974037,8262502061050111419,4272329912861974037,2318050930824097284,MQTT_Publish,0,train
231,231,9567095755458050169,10711221614066462594,9567095755458050169,3824712950205504528,MQTT_Publish,0,calibration
232,232,9054183927148921632,4178974448533714765,9054183927148921632,13765459685500785728,MQTT_Publish,0,train
233,233,11358943750017635414,4849885567844878011,11358943750017635414,11756060046797263927,MQTT_Publish,0,train
234,234,9134688270005282020,14114542918598803294,9134688270005282020,3649600255762310954,MQTT_Publish,0,train
235,235,14220736747682586608,9234946342313204310,14220736747682586608,16519365087362328672,MQTT_Publish,0,train
236,236,7203226653935532826,11066559985405377128,7203226653935532826,13455969903976613347,MQTT_Publish,0,train
237,237,7959613962360426366,11596023030903999351,7959613962360426366,4455390646796172191,MQTT_Publish,0,calibration
238,238,13714237094224050724,13940064826901629857,13714237094224050724,4516226904836455782,MQTT_Publish,0,train
239,239,6060335171604045259,6211997881535035679,6060335171604045259,18036517085792412136,MQTT_Publish,0,train
240,240,816673567351174849,16712145473880862328,816673567351174849,1223395183757048000,MQTT_Publish,0,train
241,241,812484029142775474,11353316261805399099,812484029142775474,13541857489099419685,MQTT_Publish,0,calibration
242,242,5803128491078057949,12912452565147642067,5803128491078057949,6909834155581794799,MQTT_Publish,0,train
243,243,16430753587398319155,1214851615402288025,16430753587398319155,918715524092532549,MQTT_Publish,0,train
244,244,13261456213778829714,14761197865298610942,13261456213778829714,8816138153983697304,MQTT_Publish,0,train
245,245,10545110944208247925,5535706451312826810,10545110944208247925,7132251702415564016,MQTT_Publish,0,train
246,246,2405813720383386480,14674662164245579099,2405813720383386480,1044260203782120369,MQTT_Publish,0,test
247,247,16871087125194766812,13626701618407823045,16871087125194766812,16202190837650251038,MQTT_Publish,0,train
248,248,11635117231459014505,17556030404959567900,11635117231459014505,17593055399543550625,MQTT_Publish,0,train
249,249,13005496254741358070,7194773489601087518,13005496254741358070,16085621750642725810,MQTT_Publish,0,calibration
250,250,13731844132557633727,4927186602557692549,13731844132557633727,9581073151084219770,MQTT_Publish,0,train
251,251,9833218343332781528,1060466893821432315,9833218343332781528,14641406919439352692,MQTT_Publish,0,train
252,252,15003637927635659124,5808434272767545176,15003637927635659124,13173469750457804761,MQTT_Publish,0,train
253,253,3160661792770512419,11785457218096994318,3160661792770512419,3942573949909694781,MQTT_Publish,0,train
254,254,15356718929438164584,12555064374266792711,15356718929438164584,12654932122197486043,MQTT_Publish,0,test
255,255,10295407595165633862,17918539948892173220,10295407595165633862,6145828214646140311,MQTT_Publish,0,calibration
256,256,16479306498444420108,14838518940965901646,16479306498444420108,9836242712133808122,MQTT_Publish,0,train
257,257,4436067819457846407,1662460792686171445,4436067819457846407,7032948527779920054,MQTT_Publish,0,train
258,258,10741598428353776591,4334461155616392458,10741598428353776591,8169418498332998461,MQTT_Publish,0,test
259,259,12741812944063350772,16013028701580735156,12741812944063350772,15216649063316381476,MQTT_Publish,0,calibration
260,260,11922654828170012850,3955412042623257741,11922654828170012850,11730093234450456947,MQTT_Publish,0,train
261,261,9578810071743699738,8252412669952175543,9578810071743699738,3323492167623243260,MQTT_Publish,0,train
262,262,10029317687196763678,18103671527665025700,10029317687196763678,17579818847931814399,MQTT_Publish,0,calibration
263,263,580204737503465475,2979496321215106370,580204737503465475,12520267103947237203,MQTT_Publish,0,calibration
264,264,538102478187731504,15659047355166757276,538102478187731504,8318694518133419127,MQTT_Publish,0,train
265,265,9564215270706732425,15825582056453502730,9564215270706732425,12878763315520062883,MQTT_Publish,0,train
266,266,7971939788896262970,5160067474842238446,7971939788896262970,7457387742934238518,MQTT_Publish,0,calibration
267,267,1074538018510786316,729493719271783938,1074538018510786316,5667292194863541416,MQTT_Publish,0,train
268,268,11136425647471078409,5790733185888528008,11136425647471078409,6266523372346428440,MQTT_Publish,0,train
269,269,3897763138976323590,13323818230569195220,3897763138976323590,7116189956398323787,MQTT_Publish,0,test
270,270,8772154994770771781,10111615996390491675,8772154994770771781,1515849992006012803,MQTT_Publish,0,test
271,271,1392027397302159511,9301371245544909513,1392027397302159511,12866960438776668000,MQTT_Publish,0,train
272,272,12349373761432477505,702984402922608364,12349373761432477505,16093456722407012123,MQTT_Publish,0,train
273,273,10178325412714095002,14686983977087473615,10178325412714095002,10251720303099630250,MQTT_Publish,0,train
274,274,9534190947646416190,7422512741410888655,9534190947646416190,302279702960547030,MQTT_Publish,0,test
275,275,17914795786601308362,6132045177686012700,17914795786601308362,16227208978025544712,MQTT_Publish,0,calibration
276,276,1372859594297396210,15153346813661698237,1372859594297396210,1768317929823280453,MQTT_Publish,0,train
277,277,1031913818316912859,3790640786908420288,1031913818316912859,10266821900773011326,MQTT_Publish,0,train
278,278,8162490974631898585,6903743472640034140,8162490974631898585,12156007308957110506,MQTT_Publish,0,test
279,279,9204656657694875826,3751165014022271712,9204656657694875826,9464627466616018801,MQTT_Publish,0,train
280,280,8721160305380943981,13237143564629324689,8721160305380943981,4837634987854426782,MQTT_Publish,0,test
